Asset ID,Asset Name,Status,RFID UID,Last Audit
1234567890,Laptop,Checked In,UID1234567890,2025-04-01
1234567891,Printer,Available,UID1234567891,2025-03-28
1234567892,Router,Checked In,UID1234567892,2025-04-15
1234567893,Monitor,Available,UID1234567893,2025-04-10
1234567894,Keyboard,Checked In,UID1234567894,2025-04-05
1234567895,Mouse,Available,UID1234567895,2025-03-30
1234567896,Tablet,Checked In,UID1234567896,2025-04-12
1234567897,Smartphone,Available,UID1234567897,2025-04-08
1234567898,Projector,Checked In,UID1234567898,2025-04-03
1234567899,Scanner,Available,UID1234567899,2025-04-02
1234567900,Webcam,Checked In,UID1234567900,2025-04-14
1234567901,Speaker,Available,UID1234567901,2025-04-09
1234567902,Microphone,Checked In,UID1234567902,2025-04-06
1234567903,External Hard Drive,Available,UID1234567903,2025-04-04
1234567904,Flash Drive,Checked In,UID1234567904,2025-04-11
1234567905,Server,Available,UID1234567905,2025-04-07
1234567906,Switch,Checked In,UID1234567906,2025-04-13
1234567907,Access Point,Available,UID1234567907,2025-04-01
1234567908,Firewall,Checked In,UID1234567908,2025-04-16
1234567909,UPS,Available,UID1234567909,2025-04-17
1234567910,Desktop,Checked In,UID1234567910,2025-04-01
1234567911,Headphones,Available,UID1234567911,2025-03-28
1234567912,Camera,Checked In,UID1234567912,2025-04-15
1234567913,Smartwatch,Available,UID1234567913,2025-04-10
1234567914,Charger,Checked In,UID1234567914,2025-04-05
1234567915,Power Bank,Available,UID1234567915,2025-03-30
1234567916,TV,Checked In,UID1234567916,2025-04-12
1234567917,Refrigerator,Available,UID1234567917,2025-04-08
1234567918,Microwave,Checked In,UID1234567918,2025-04-03
1234567919,Air Conditioner,Available,UID1234567919,2025-04-02
1234567920,Heater,Checked In,UID1234567920,2025-04-14
1234567921,Vacuum Cleaner,Available,UID1234567921,2025-04-09
1234567922,Drone,Checked In,UID1234567922,2025-04-06
1234567923,3D Printer,Available,UID1234567923,2025-04-04
1234567924,Smart Speaker,Checked In,UID1234567924,2025-04-11
1234567925,Game Console,Available,UID1234567925,2025-04-07
1234567926,VR Headset,Checked In,UID1234567926,2025-04-13
1234567927,Smart Light,Available,UID1234567927,2025-04-01
1234567928,Smart Lock,Checked In,UID1234567928,2025-04-16
1234567929,Smart Thermostat,Available,UID1234567929,2025-04-17
1234567930,Electric Scooter,Checked In,UID1234567930,2025-04-01
1234567931,Electric Bike,Available,UID1234567931,2025-03-28
1234567932,Smart Glasses,Checked In,UID1234567932,2025-04-15
1234567933,Smart Ring,Available,UID1234567933,2025-04-10
1234567934,Smart Plug,Checked In,UID1234567934,2025-04-05
1234567935,Smart Doorbell,Available,UID1234567935,2025-03-30
1234567936,Smart Camera,Checked In,UID1234567936,2025-04-12
1234567937,Smart Display,Available,UID1234567937,2025-04-08
1234567938,Smart Hub,Checked In,UID1234567938,2025-04-03
1234567939,Smart Alarm,Available,UID1234567939,2025-04-02
1234567940,Smart Sensor,Checked In,UID1234567940,2025-04-14
1234567941,Smart Tracker,Available,UID1234567941,2025-04-09
1234567942,Smart Scale,Checked In,UID1234567942,2025-04-06
1234567943,Smart Mirror,Available,UID1234567943,2025-04-04
1234567944,Smart Bed,Checked In,UID1234567944,2025-04-11
1234567945,Smart Pillow,Available,UID1234567945,2025-04-07
1234567946,Smart Fan,Checked In,UID1234567946,2025-04-13
1234567947,Smart Curtain,Available,UID1234567947,2025-04-01
1234567948,Smart Blinds,Checked In,UID1234567948,2025-04-16
1234567949,Smart Coffee Maker,Available,UID1234567949,2025-04-17
1234567950,Smart Oven,Checked In,UID1234567950,2025-04-01